,,,,,
,,????????,,,
,????,??????,??????,??????,??????
,?    ??,129873,14,9.5915,0.0010
,??????,2368,2,11.4435,0.0097
,?????,631,0,4.4652,
,????,21082,0,28.9289,
,????,5954,0,16.4893,
,?????,1649,0,6.6229,
,?????,1313,0,2.9916,
,?????,584,0,2.1233,
,???????,154,0,0.4017,
,?????,2120,1,8.9060,0.0042
,?????,2450,0,3.0934,
,???,3302,0,6.0288,
,?????,5983,0,9.9917,
,?????,4775,1,12.7401,0.0027
,?????,5773,1,12.8178,0.0022
,????,3877,0,4.0032,
,?????,13505,3,14.3579,0.0032
,?????,3469,0,6.0028,
,?????,8136,2,12.2550,0.0030
,???,17327,2,16.3555,0.0019
,??    ??,3043,0,6.4994,
,?????,536,0,6.0459,
,??????,1966,1,6.6757,0.0034
,????,1971,0,2.4405,
,?????,2781,0,7.9822,
,?????,2839,0,6.0936,
,??    ??,7,0,0.2273,
,?????,4936,0,13.1518,
,?????,4916,0,19.0724,
,???,487,0,8.4966,
,??    ??,1030,1,15.9150,0.0155
,???,909,0,4.0712,
,???????,60,0,2.2653,
2018??9??10?? ????9:13,,,,,
